cache_key,alert_type,phase,question_pattern,spl_template,description
certutil_phase_a_process_args,MALWARE_EXECUTION_CERTUTIL,phase_a,"certutil process invocations with arguments","| datamodel Endpoint Processes search | search process_name=certutil.exe host=""{host}"" earliest={earliest} latest=now | table _time, host, user, process, parent_process | sort _time","LOLBAS certutil usage triage"
supplychain_phase_b_hash_mismatch_hosts,SUPPLY_CHAIN_HASH_MISMATCH,phase_b,"hosts running binary with mismatched hash","| datamodel Endpoint Filesystem search | search file_hash=""{bad_hash}"" earliest={earliest} latest=now | stats dc(host) as affected_hosts values(host) as hosts by file_name, file_hash","Blast radius for supply chain hash mismatch"
supplychain_phase_c_scheduled_task_persistence,SUPPLY_CHAIN_HASH_MISMATCH,phase_c,"scheduled tasks created for persistence","index=endpoint sourcetype=""XmlWinEventLog:Microsoft-Windows-TaskScheduler/Operational"" EventCode=106 earliest={earliest} latest=now | table _time, host, user, TaskName | sort _time","Persistence via scheduled task creation"
supplychain_phase_d_c2_beacon,SUPPLY_CHAIN_HASH_MISMATCH,phase_d,"beaconing connections to C2 over alternate port","| datamodel Network_Traffic All_Traffic search | search dest=""{c2_ip}"" dest_port=""{c2_port}"" earliest={earliest} latest=now | timechart span=5m count by src","C2 beacon interval analysis"
lateral_movement_phase_c_smb_rdp_wmi,_default,phase_c,"lateral movement via SMB RDP or WMI from host or user","| datamodel Authentication Authentication search | search (src=""{host}"" OR user=""{user}"") (app=""smb"" OR app=""rdp"" OR app=""wmi"") earliest={earliest} latest=now | table _time, src, dest, user, app, action | sort _time | head 200","Generic lateral movement detection"
network_flows_phase_c_top_talkers,_default,phase_c,"top network talkers by bytes for host","| datamodel Network_Traffic All_Traffic search | search src=""{host}"" earliest={earliest} latest=now | stats sum(bytes_out) as bytes_out sum(bytes_in) as bytes_in by dest | sort -bytes_out | head 50","Network flow volume summary for host"
identity_phase_d_offhours_access,_default,phase_d,"off hours access for user","| datamodel Authentication Authentication search | search user=""{user}"" action=success earliest={earliest} latest=now | eval hour=strftime(_time,""%H"") | where hour<""{baseline_start}"" OR hour>""{baseline_end}"" | table _time, user, src, dest, hour","Off-hours access anomaly detection"
identity_phase_d_impossible_travel,_default,phase_d,"impossible travel for user based on geolocation","| datamodel Authentication Authentication search | search user=""{user}"" action=success earliest={earliest} latest=now | iplocation src | table _time, user, src, City, Country | sort _time","Impossible travel / geo-velocity check"
asset_phase_a_criticality_lookup,_default,phase_a,"asset criticality for host or ip","| inputlookup asset_criticality_lookup | search (asset_name=""{host}"" OR ip_address=""{host}"") | head 1","Asset criticality context lookup"
ioc_phase_a_whitelist_check,_default,phase_a,"check if IOC is on the whitelist","| inputlookup ioc_whitelist_lookup | search ioc_value=""{ioc_value}"" | head 1","IOC whitelist check to avoid false positive enrichment"
